"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Air Explorer","","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"AutoHotkey","","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Bambu Studio","","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Kyocera Product Library","","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Macrium Reflect Free","06.01.2025","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Notepad++ (64-bit x64)","","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"ONLYOFFICE 9.0.3 (x64)","20250721","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Sophos Endpoint Agent","20250723","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Sophos Endpoint Defense","20250723","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Sophos ML Engine","","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Sophos Standalone Engine","","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Microsoft Office LTSC Standard 2021 - de-de","","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Microsoft Office LTSC Standard 2021 - en-us","","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Total Commander 64-bit (Remove or Repair)","","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"WinMerge 2.16.48.2 x64","20250513","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Zotero","","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Microsoft.NET.Workload.Emscripten.net8.Manifest (x64)","20250618","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"TortoiseGit 2.17.0.2 (64 bit)","20250523","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Microsoft .NET Runtime - 8.0.18 (x64)","20250721","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Microsoft ASP.NET Core 9.0.7 Shared Framework (x64)","20250721","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Microsoft .NET Host - 9.0.7 (x64)","20250721","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Microsoft ASP.NET Core 8.0.18 Shared Framework (x64)","20250721","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Microsoft.NET.Workload.Emscripten.net7.Manifest (x64)","20250721","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Sophos AutoUpdate","20250723","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Microsoft.NET.Workload.Mono.Toolchain.net8.Manifest (x64)","20250618","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"STARFACE Updater v1.1.0.8","20250115","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Microsoft ASP.NET Core 9.0.7 Targeting Pack (x64)","20250721","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Sophos AMSI Protection","20250723","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Microsoft.NET.Sdk.Maui.Manifest-8.0.100 (x64)","20250116","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Microsoft Windows Desktop Targeting Pack - 9.0.6 (x64)","20250618","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Microsoft.NET.Sdk.macOS.Manifest-9.0.100 (x64)","20250225","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Microsoft.NET.Workload.Mono.Toolchain.Current.Manifest (x64)","20250721","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Windows Subsystem for Linux","20250326","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Microsoft.NET.Workload.Mono.Toolchain.net7.Manifest (x64)","20250618","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Microsoft .NET Runtime - 9.0.7 (x64)","20250721","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Microsoft .NET Host FX Resolver - 9.0.7 (x64)","20250721","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"PowerToys (Preview)","20250721","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Cryptomator","20250721","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Sophos Endpoint Agent","20250723","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Sophos Endpoint Firewall","20250723","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Microsoft Windows Desktop Runtime - 8.0.18 (x64)","20250721","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Sophos Network Threat Protection","20250723","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Microsoft.NET.Sdk.Aspire.Manifest-8.0.100 (x64)","20250225","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Video Comparer Win64 1.07.014","20250116","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Microsoft.NET.Sdk.Maui.Manifest-9.0.100 (x64)","20250225","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Rapid Environment Editor Version 9.2.0.937","20250528","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Microsoft.NET.Sdk.MacCatalyst.Manifest-9.0.100 (x64)","20250225","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Microsoft.NET.Workload.Mono.Toolchain.net6.Manifest (x64)","20250721","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.44.35211","20250721","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Microsoft.NET.Workload.Mono.Toolchain.Current.Manifest (x64)","20250618","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"RealVNC Viewer 7.14.0","20250721","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Sophos Endpoint Self Help","20250723","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Microsoft Windows Desktop Targeting Pack - 8.0.18 (x64)","20250721","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Microsoft .NET Host FX Resolver - 8.0.18 (x64)","20250721","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Microsoft.NET.Workload.Emscripten.Current.Manifest (x64)","20250721","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
